name,album,duration,tuning
Hank Is Dead,Murder The Mountains,02:38,C
Dirt Wizard,Murder The Mountains,02:59,E
Throw Up,Murder The Mountains,06:35,C
Blood Like Cream,Whales And Leeches,03:33,D
Crows in Swine,Whales And Leeches,03:01,D
Arrows,Arrows,03:53,D
Prehistoric Dog,Red Fang,04:28,E
Reverse Thunder,Red Fang,03:15,E
Night Destroyer,Red Fang,03:12,D
Humans Remain Human Remains,Red Fang,06:28,E
Good to Die,Red Fang,03:29,E
Bird on Fire,Red Fang,03:08,E
Wings of Fang,Red Fang,02:49,?
Sharks,Red Fang,02:26,E
Take It Back,Arrows,02:00,D
Unreal Estate,Arrows,05:09,D
My Disaster,Arrows,01:56,D
Two High,Arrows,03:54,D
Anodyne,Arrows,03:35,?
Fonzi Scheme,Arrows,04:13,?
Days Collide,Arrows,05:44,?
Rabbits in Hives,Arrows,01:36,C
Why,Arrows,03:08,?
Dr. Owl,Arrows,03:33,?
Funeral Coach,Arrows,03:25,?
Stereo Nucleosis,Stereo Nucleosis,02:59,?
Antidote,Antidote,03:50,D
Listen To The Sirens,Listen To The Sirens,03:12,E
Flies,Only Ghosts,03:37,E
Cut It Short,Only Ghosts,04:11,E
No Air,Only Ghosts,04:52,D
Shadows,Only Ghosts,03:11,?
Not for You,Only Ghosts,03:19,D
The Smell of the Sound,Only Ghosts,05:23,E
The Deep,Only Ghosts,04:27,?
I Am a Ghost,Only Ghosts,04:08,?
Living in Lye,Only Ghosts,06:19,?
Feeder,Only Ghosts,06:41,?
Dumb Guy (instrumental),Only Ghosts,03:12,?
One Hit Two Hit (instrumental),Only Ghosts,05:20,?
DOEN,Whales And Leeches,03:18,C
No Hope,Whales And Leeches,02:58,?
Voices of the Dead,Whales And Leeches,02:43,?
Behind the Light,Whales And Leeches,02:44,?
Dawn Rising,Whales And Leeches,07:01,C
Failure,Whales And Leeches,04:57,?
1516,Whales And Leeches,03:37,D
This Animal,Whales And Leeches,02:42,?
Every Little Twist,Whales And Leeches,04:40,?
Murder the Mountains,Whales And Leeches,01:54,?
Black Water,Whales And Leeches,04:40,?
Malverde,Murder The Mountains,04:04,D
Wires,Murder The Mountains,05:45,D
Painted Parade,Murder The Mountains,02:29,?
Number Thirteen,Murder The Mountains,04:47,E
Into the Eye,Murder The Mountains,04:00,D
The Undertow,Murder The Mountains,05:04,?
Human Herd,Murder The Mountains,03:51,?
Over the Edge (Wipers cover),Murder The Mountains,03:57,E
Through (No Talent cover),Murder The Mountains,04:41,E
Pawn Everything,Murder The Mountains,01:25,?
Whales and Leeches,Red Fang,04:21,?
Witness,Red Fang,02:37,?
Suicide (Dust cover),Red Fang,02:37,E
Only Fools Rush In,Only Fools Rush In,05:42,?
The Meadows,The Meadows,03:40,?
The Shadows,The Shadows,03:34,?
LSP,LSP,03:40,?
Carjack Fairy (Cherubs cover),Carjack Fairy (Cherubs cover),05:03,?
